epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1020.08,0.82261,1.34794,1.67876,0.68608,0.5081,0.59144,0.27585,1.06619,1.60773,1.93626,0.000948377,0.000948377,0.000948377
46,1042.52,0.80621,1.34327,1.65418,0.68831,0.5904,0.65547,0.31513,0.99757,1.47209,1.89944,0.000946048,0.000946048,0.000946048
47,1064,0.80241,1.33208,1.65762,0.55063,0.62574,0.63471,0.31303,0.96762,1.54847,1.87076,0.000943671,0.000943671,0.000943671
48,1086.6,0.80949,1.31804,1.65393,0.67768,0.55814,0.65988,0.31664,0.94979,1.57589,1.89033,0.000941245,0.000941245,0.000941245
49,1107.91,0.80523,1.34428,1.65739,0.6232,0.63469,0.65509,0.30315,0.99966,1.52573,1.94649,0.000938772,0.000938772,0.000938772
50,1130.68,0.80267,1.30571,1.64547,0.67584,0.51873,0.64395,0.31294,0.97301,1.47912,1.87595,0.000936251,0.000936251,0.000936251
51,1151.83,0.78617,1.31508,1.63074,0.57986,0.62429,0.65522,0.31945,0.98414,1.47944,1.85337,0.000933683,0.000933683,0.000933683
52,1174.78,0.76215,1.29317,1.61869,0.61883,0.60348,0.67116,0.32523,0.99799,1.43789,1.90816,0.000931067,0.000931067,0.000931067
53,1196.08,0.78161,1.29073,1.62545,0.59531,0.60655,0.65317,0.31607,1.00985,1.47772,1.86592,0.000928405,0.000928405,0.000928405
54,1218.54,0.77025,1.27366,1.61865,0.60748,0.60649,0.63994,0.3108,1.0138,1.4789,1.87437,0.000925697,0.000925697,0.000925697
55,1239.46,0.7604,1.26696,1.61677,0.63826,0.58663,0.65284,0.32054,0.95401,1.45681,1.89489,0.000922942,0.000922942,0.000922942
56,1261.81,0.76739,1.27092,1.60574,0.65333,0.58333,0.64968,0.31345,0.98898,1.50986,1.88562,0.000920142,0.000920142,0.000920142
57,1284.07,0.76115,1.24839,1.61287,0.60202,0.603,0.64103,0.30885,0.97554,1.49669,1.90642,0.000917296,0.000917296,0.000917296
58,1307.78,0.76907,1.26504,1.61914,0.52723,0.59816,0.60477,0.27642,1.08231,1.59829,2.01254,0.000914405,0.000914405,0.000914405
59,1329.84,0.74873,1.22964,1.59904,0.57246,0.65321,0.65487,0.31625,0.94554,1.44745,1.9071,0.000911469,0.000911469,0.000911469
60,1353.41,0.74685,1.24121,1.59528,0.53506,0.65718,0.6367,0.30204,0.9389,1.48308,1.91126,0.000908488,0.000908488,0.000908488
61,1375.61,0.74376,1.23251,1.60472,0.6801,0.61513,0.66192,0.31306,1.0064,1.44719,1.99318,0.000905463,0.000905463,0.000905463
62,1398.92,0.75584,1.23154,1.59205,0.54107,0.60734,0.63066,0.29137,0.9751,1.52576,1.94322,0.000902395,0.000902395,0.000902395
63,1422.84,0.74986,1.2134,1.59522,0.64229,0.55699,0.62064,0.28819,0.97576,1.51408,1.98736,0.000899282,0.000899282,0.000899282
64,1445.05,0.73481,1.20401,1.58475,0.61534,0.62254,0.64921,0.31551,0.99165,1.47054,1.90043,0.000896127,0.000896127,0.000896127
65,1468.21,0.73166,1.21113,1.58409,0.58581,0.65154,0.66713,0.32204,0.95099,1.418,1.85456,0.000892928,0.000892928,0.000892928
66,1490.22,0.72381,1.20632,1.56455,0.56486,0.62526,0.65327,0.32308,0.92421,1.42751,1.88326,0.000889687,0.000889687,0.000889687
67,1513.92,0.73741,1.20658,1.57093,0.59588,0.60661,0.61944,0.29583,0.99619,1.51429,1.95649,0.000886404,0.000886404,0.000886404
68,1535.78,0.73519,1.20272,1.5718,0.57204,0.66761,0.68307,0.32431,0.97433,1.45856,1.84922,0.000883079,0.000883079,0.000883079
69,1559.28,0.72216,1.18758,1.57001,0.57563,0.62213,0.63746,0.30631,0.94936,1.46021,1.9358,0.000879713,0.000879713,0.000879713
70,1581.86,0.71741,1.17567,1.56602,0.65154,0.59739,0.63586,0.30256,0.99112,1.43392,1.92539,0.000876305,0.000876305,0.000876305
71,1604.86,0.71811,1.18076,1.564,0.58736,0.61038,0.66695,0.33029,0.95412,1.41711,1.86403,0.000872857,0.000872857,0.000872857
72,1628.16,0.70868,1.16255,1.55886,0.64752,0.62639,0.67706,0.33314,0.95701,1.40293,1.93783,0.000869368,0.000869368,0.000869368
73,1650.51,0.70767,1.1362,1.54128,0.63626,0.55056,0.59212,0.2847,1.02844,1.48861,1.94885,0.000865839,0.000865839,0.000865839
74,1673.79,0.70298,1.13784,1.54873,0.58874,0.62779,0.65354,0.30166,0.98758,1.47583,1.92318,0.000862271,0.000862271,0.000862271
75,1695.28,0.70373,1.13233,1.54283,0.62862,0.5852,0.63273,0.30775,0.95035,1.45718,1.91947,0.000858664,0.000858664,0.000858664
76,1718.1,0.70678,1.14311,1.54026,0.64043,0.61181,0.65937,0.31985,0.9954,1.41276,1.90992,0.000855018,0.000855018,0.000855018
77,1739.29,0.68837,1.11936,1.52865,0.62438,0.6094,0.65378,0.31649,0.97457,1.41582,1.93175,0.000851333,0.000851333,0.000851333
78,1762.87,0.69512,1.1256,1.54228,0.59482,0.64686,0.66338,0.31823,0.99178,1.39164,1.93495,0.000847611,0.000847611,0.000847611
79,1784.8,0.67772,1.1176,1.52518,0.63644,0.60815,0.6526,0.31461,1.02967,1.45626,1.94537,0.000843851,0.000843851,0.000843851
80,1808.22,0.685,1.11911,1.52766,0.57966,0.65477,0.6675,0.32452,0.98059,1.40889,1.89693,0.000840054,0.000840054,0.000840054
81,1830.11,0.68706,1.10479,1.53403,0.62161,0.62468,0.6579,0.31752,0.98188,1.40834,1.91568,0.00083622,0.00083622,0.00083622
82,1853.5,0.67918,1.1012,1.51938,0.55632,0.64606,0.64677,0.31108,0.96883,1.44867,1.9158,0.000832349,0.000832349,0.000832349
83,1876.25,0.68174,1.1147,1.51952,0.58293,0.61498,0.65847,0.32181,0.96338,1.43139,1.90935,0.000828443,0.000828443,0.000828443
84,1898.58,0.66478,1.07475,1.50881,0.61104,0.66733,0.68433,0.32594,0.98447,1.3614,1.8987,0.000824502,0.000824502,0.000824502
85,1920.84,0.668,1.07202,1.50406,0.61227,0.65045,0.69028,0.33193,0.96961,1.3597,1.90058,0.000820525,0.000820525,0.000820525
86,1943.63,0.67219,1.08213,1.52258,0.55859,0.67378,0.67669,0.32312,0.98879,1.39835,1.95453,0.000816514,0.000816514,0.000816514
87,1966.86,0.66666,1.08154,1.51074,0.62397,0.64065,0.67477,0.33027,0.96146,1.37298,1.93565,0.000812468,0.000812468,0.000812468
88,1988.42,0.67532,1.08739,1.51192,0.60606,0.61055,0.65347,0.32161,0.97949,1.39062,1.92918,0.000808389,0.000808389,0.000808389
89,2011.42,0.66128,1.07315,1.4964,0.61616,0.66019,0.678,0.32292,0.96548,1.37659,1.91221,0.000804277,0.000804277,0.000804277
90,2033.14,0.65281,1.05981,1.4954,0.63171,0.6499,0.67531,0.33112,0.97141,1.36768,1.9174,0.000800131,0.000800131,0.000800131
91,2056.42,0.6516,1.04656,1.48619,0.58641,0.66022,0.68404,0.33134,0.96275,1.33949,1.91633,0.000795954,0.000795954,0.000795954
92,2078.08,0.6518,1.04558,1.49347,0.64638,0.59292,0.64779,0.31668,0.94523,1.44347,1.96786,0.000791744,0.000791744,0.000791744
93,2101.23,0.65184,1.04279,1.50381,0.64016,0.65258,0.66547,0.32692,0.95718,1.38084,1.92511,0.000787503,0.000787503,0.000787503
94,2123.97,0.64295,1.02625,1.48162,0.58368,0.61485,0.63476,0.3121,1.0143,1.40443,1.95103,0.000783231,0.000783231,0.000783231
95,2145.8,0.63483,1.02793,1.47459,0.61401,0.61769,0.65807,0.31921,0.96745,1.40194,1.93089,0.000778929,0.000778929,0.000778929
96,2168.77,0.63122,1.02217,1.47444,0.61755,0.64902,0.6525,0.31527,0.99834,1.35301,1.98619,0.000774596,0.000774596,0.000774596
97,2190.29,0.64617,1.02617,1.48731,0.54971,0.6404,0.64525,0.30922,1.00324,1.48391,1.93455,0.000770234,0.000770234,0.000770234
98,2213.37,0.63722,1.01361,1.46594,0.61821,0.63712,0.66776,0.31908,1.014,1.37699,1.93858,0.000765843,0.000765843,0.000765843
99,2234.96,0.63534,1.02687,1.46716,0.55276,0.62439,0.63818,0.30668,0.99635,1.4414,1.90965,0.000761423,0.000761423,0.000761423
100,2258,0.62192,0.99879,1.45837,0.6027,0.64589,0.66292,0.31275,0.9902,1.40448,1.97992,0.000756976,0.000756976,0.000756976
101,2279.64,0.62922,1.00595,1.45793,0.60195,0.64574,0.6574,0.31474,1.04857,1.39924,2.01022,0.0007525,0.0007525,0.0007525
102,2302.93,0.62372,0.99952,1.45043,0.53528,0.6555,0.64637,0.31483,0.9987,1.38918,1.94666,0.000747997,0.000747997,0.000747997
103,2325.03,0.61512,0.98644,1.45889,0.62412,0.62997,0.65264,0.30673,1.07969,1.42701,1.94957,0.000743468,0.000743468,0.000743468
104,2347.9,0.61983,0.97664,1.45407,0.64259,0.61833,0.66927,0.32554,0.98305,1.36236,1.97354,0.000738913,0.000738913,0.000738913
105,2371.03,0.60831,0.97912,1.4483,0.61224,0.61865,0.63539,0.29788,1.0761,1.40798,2.06037,0.000734332,0.000734332,0.000734332
106,2392.8,0.61296,0.97311,1.44958,0.63625,0.62867,0.67044,0.32971,0.99724,1.37638,1.9301,0.000729725,0.000729725,0.000729725
