epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,937.47,1.40723,1.25693,1.56417,0.66349,0.62012,0.68686,0.33152,1.69301,1.44501,1.81759,0.000955072,0.000955072,0.000955072
43,959.091,1.39897,1.23685,1.54403,0.73608,0.58911,0.69514,0.34191,1.63803,1.39127,1.80613,0.000952889,0.000952889,0.000952889
44,981.721,1.3927,1.23269,1.54683,0.64557,0.6118,0.6707,0.33241,1.65558,1.48733,1.80828,0.000950658,0.000950658,0.000950658
45,1002.75,1.37964,1.20154,1.54396,0.58586,0.63242,0.67497,0.33222,1.65445,1.44597,1.79565,0.000948377,0.000948377,0.000948377
46,1025.18,1.38791,1.20201,1.5446,0.5714,0.65907,0.67474,0.33774,1.67823,1.43505,1.83331,0.000946048,0.000946048,0.000946048
47,1046.49,1.38501,1.22345,1.5467,0.56205,0.66082,0.67887,0.34495,1.61386,1.41649,1.78968,0.000943671,0.000943671,0.000943671
48,1069.17,1.37277,1.17489,1.53218,0.62587,0.63839,0.69031,0.33048,1.73907,1.45097,1.83587,0.000941245,0.000941245,0.000941245
49,1090.16,1.36155,1.18916,1.52417,0.5974,0.61509,0.6669,0.3285,1.67573,1.42073,1.83721,0.000938772,0.000938772,0.000938772
50,1112.76,1.36004,1.18293,1.51794,0.57601,0.66343,0.6866,0.35357,1.66006,1.39928,1.83108,0.000936251,0.000936251,0.000936251
51,1135.01,1.36566,1.19248,1.53138,0.55527,0.68524,0.68352,0.33407,1.68118,1.43244,1.81557,0.000933683,0.000933683,0.000933683
52,1156.8,1.34735,1.15729,1.51905,0.62472,0.66074,0.69762,0.34242,1.63754,1.43532,1.81566,0.000931067,0.000931067,0.000931067
53,1179.78,1.35605,1.16026,1.51431,0.62568,0.65799,0.67789,0.33468,1.69153,1.44638,1.83559,0.000928405,0.000928405,0.000928405
54,1201.22,1.34785,1.1577,1.52124,0.65111,0.63604,0.69458,0.34429,1.66937,1.41339,1.84322,0.000925697,0.000925697,0.000925697
55,1224,1.3359,1.14627,1.51018,0.59033,0.67532,0.69703,0.34621,1.63952,1.39283,1.8156,0.000922942,0.000922942,0.000922942
56,1245.28,1.33284,1.13744,1.50154,0.73024,0.62632,0.71457,0.34888,1.64705,1.35347,1.79041,0.000920142,0.000920142,0.000920142
57,1268.17,1.32353,1.12273,1.50475,0.60417,0.65097,0.7015,0.34739,1.6814,1.38334,1.83571,0.000917296,0.000917296,0.000917296
58,1290.08,1.30647,1.14389,1.49612,0.64109,0.6529,0.70489,0.35406,1.65978,1.40761,1.82427,0.000914405,0.000914405,0.000914405
59,1312.32,1.33031,1.11257,1.50655,0.59933,0.66842,0.65547,0.32882,1.66939,1.43022,1.855,0.000911469,0.000911469,0.000911469
60,1334.86,1.31209,1.13063,1.48335,0.57999,0.66461,0.68082,0.34156,1.66446,1.39293,1.82349,0.000908488,0.000908488,0.000908488
61,1356.22,1.29404,1.10798,1.48754,0.67978,0.64627,0.69801,0.34632,1.69206,1.35617,1.85139,0.000905463,0.000905463,0.000905463
62,1379.19,1.29842,1.09135,1.48146,0.62038,0.65235,0.68065,0.34866,1.6572,1.37633,1.79811,0.000902395,0.000902395,0.000902395
63,1400.32,1.30183,1.08011,1.48672,0.57957,0.64758,0.68607,0.34243,1.66798,1.41319,1.88126,0.000899282,0.000899282,0.000899282
64,1422.9,1.29342,1.06891,1.47009,0.59949,0.62796,0.67751,0.3254,1.69514,1.43297,1.83855,0.000896127,0.000896127,0.000896127
65,1444.13,1.28497,1.0788,1.46804,0.61512,0.64332,0.68286,0.34389,1.67521,1.3669,1.80572,0.000892928,0.000892928,0.000892928
66,1467.11,1.26587,1.05062,1.452,0.61559,0.68091,0.70778,0.34784,1.67466,1.31986,1.80723,0.000889687,0.000889687,0.000889687
67,1489.36,1.26711,1.04904,1.4553,0.61215,0.64428,0.6878,0.34149,1.6984,1.33044,1.82648,0.000886404,0.000886404,0.000886404
