epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2699.91,1.47427,1.35807,1.64822,0.52903,0.63205,0.64809,0.31497,1.69842,1.5616,1.83552,0.000900844,0.000900844,0.000900844
43,2764.88,1.47189,1.3508,1.64189,0.54698,0.60715,0.62927,0.30801,1.67159,1.52915,1.85928,0.000896127,0.000896127,0.000896127
44,2828.41,1.46625,1.34953,1.63275,0.60934,0.5745,0.63328,0.32322,1.64887,1.56166,1.81341,0.000891313,0.000891313,0.000891313
45,2892.97,1.46224,1.31106,1.6303,0.55289,0.623,0.63473,0.30471,1.71412,1.55575,1.8708,0.000886404,0.000886404,0.000886404
46,2956.67,1.44818,1.31378,1.62225,0.56816,0.58344,0.64159,0.32189,1.69797,1.51553,1.81247,0.000881401,0.000881401,0.000881401
47,3020.45,1.46195,1.31431,1.63782,0.62968,0.5787,0.64285,0.32111,1.6462,1.53183,1.82976,0.000876305,0.000876305,0.000876305
48,3083.8,1.44348,1.30797,1.61718,0.6018,0.60763,0.63315,0.31715,1.74559,1.4861,1.88346,0.000871117,0.000871117,0.000871117
49,3147.31,1.45867,1.31268,1.62812,0.64359,0.56792,0.6367,0.30176,1.75289,1.55766,1.89419,0.000865839,0.000865839,0.000865839
50,3210.88,1.4435,1.29955,1.61715,0.56093,0.61013,0.6251,0.32169,1.66013,1.56063,1.84777,0.000860473,0.000860473,0.000860473
51,3274.63,1.4365,1.29787,1.6178,0.57028,0.63223,0.66039,0.32899,1.66021,1.46768,1.84708,0.000855018,0.000855018,0.000855018
52,3339.09,1.41952,1.27269,1.60165,0.52176,0.6676,0.64241,0.32142,1.67465,1.56626,1.84097,0.000849477,0.000849477,0.000849477
53,3402.61,1.44284,1.28906,1.6051,0.55469,0.60934,0.62845,0.3076,1.69351,1.5027,1.85708,0.000843851,0.000843851,0.000843851
54,3466.8,1.41379,1.2628,1.59637,0.61716,0.61217,0.66339,0.32152,1.68901,1.4745,1.84449,0.000838141,0.000838141,0.000838141
55,3530.7,1.39981,1.23854,1.58821,0.59759,0.61263,0.62685,0.31665,1.66586,1.47063,1.81473,0.000832349,0.000832349,0.000832349
56,3594.74,1.40641,1.25003,1.59002,0.56642,0.63764,0.64196,0.29761,1.73902,1.52333,1.88673,0.000826477,0.000826477,0.000826477
57,3658.31,1.40647,1.22167,1.59568,0.54952,0.61788,0.64886,0.3322,1.62683,1.44865,1.782,0.000820525,0.000820525,0.000820525
58,3723.04,1.38401,1.24128,1.5899,0.56751,0.62908,0.65537,0.3169,1.70696,1.4941,1.8784,0.000814495,0.000814495,0.000814495
59,3786.68,1.38518,1.20068,1.57071,0.58804,0.64414,0.66889,0.33423,1.65067,1.41544,1.82402,0.000808389,0.000808389,0.000808389
60,3851.18,1.39441,1.21598,1.57177,0.50903,0.63401,0.59999,0.29643,1.72694,1.48692,1.86955,0.000802208,0.000802208,0.000802208
61,3914.78,1.37035,1.21013,1.56461,0.63343,0.61835,0.66074,0.32817,1.65702,1.43605,1.80598,0.000795954,0.000795954,0.000795954
62,3978.76,1.37591,1.19743,1.56353,0.55896,0.66004,0.67565,0.33963,1.64195,1.40141,1.83352,0.000789628,0.000789628,0.000789628
63,4042.93,1.37773,1.18214,1.56262,0.63145,0.63243,0.66732,0.32864,1.6486,1.42231,1.84271,0.000783231,0.000783231,0.000783231
64,4106.92,1.3464,1.17842,1.54538,0.61155,0.64213,0.67508,0.3275,1.67886,1.40131,1.83933,0.000776766,0.000776766,0.000776766
65,4170.49,1.34995,1.17184,1.54413,0.6103,0.62481,0.65106,0.32532,1.61089,1.40394,1.79117,0.000770234,0.000770234,0.000770234
66,4234.2,1.36007,1.16593,1.54335,0.57979,0.66997,0.68002,0.34385,1.61512,1.39663,1.81266,0.000763637,0.000763637,0.000763637
67,4298.42,1.34525,1.17684,1.53836,0.61013,0.58653,0.63924,0.32733,1.69563,1.39694,1.85094,0.000756976,0.000756976,0.000756976
68,4361.78,1.35379,1.16734,1.54906,0.61497,0.59701,0.66168,0.33449,1.64999,1.41957,1.83496,0.000750252,0.000750252,0.000750252
69,4425.52,1.35813,1.16383,1.54885,0.59564,0.64003,0.6689,0.32899,1.67437,1.40422,1.83124,0.000743468,0.000743468,0.000743468
70,4489.26,1.34523,1.16979,1.54434,0.6096,0.63598,0.67526,0.34227,1.64437,1.3865,1.83599,0.000736625,0.000736625,0.000736625
71,4552.81,1.33496,1.15416,1.53483,0.64224,0.63697,0.67094,0.33359,1.65181,1.40822,1.82793,0.000729725,0.000729725,0.000729725
72,4616.11,1.33807,1.15721,1.53933,0.60557,0.66752,0.69848,0.33763,1.69144,1.37292,1.85782,0.00072277,0.00072277,0.00072277
73,4680.13,1.32854,1.1304,1.53204,0.56191,0.66232,0.67791,0.33643,1.68053,1.39336,1.85864,0.000715761,0.000715761,0.000715761
74,4743.71,1.31766,1.10755,1.5198,0.59172,0.64278,0.66667,0.3299,1.66572,1.36563,1.81462,0.0007087,0.0007087,0.0007087
75,4807.31,1.3048,1.11415,1.50703,0.60614,0.61549,0.67657,0.34109,1.65847,1.39112,1.82083,0.000701588,0.000701588,0.000701588
76,4870.92,1.30891,1.09011,1.51564,0.69665,0.62202,0.69507,0.3479,1.62366,1.36789,1.80705,0.000694428,0.000694428,0.000694428
77,4935.27,1.30996,1.11354,1.5141,0.65596,0.58893,0.65531,0.3113,1.77093,1.3868,1.919,0.000687222,0.000687222,0.000687222
78,4998.8,1.30608,1.07741,1.50566,0.63884,0.65512,0.66428,0.33754,1.62581,1.41163,1.80351,0.00067997,0.00067997,0.00067997
79,5062.55,1.28834,1.0826,1.50585,0.6035,0.59945,0.63622,0.32294,1.69283,1.41342,1.8707,0.000672675,0.000672675,0.000672675
80,5125.88,1.28967,1.06977,1.5024,0.58201,0.67021,0.68915,0.34125,1.69258,1.34688,1.84419,0.000665339,0.000665339,0.000665339
81,5189.68,1.29609,1.08053,1.49592,0.62812,0.64577,0.66657,0.33538,1.6611,1.38957,1.85046,0.000657963,0.000657963,0.000657963
82,5252.93,1.26723,1.0481,1.48681,0.64307,0.62278,0.68525,0.3426,1.67776,1.35142,1.86754,0.00065055,0.00065055,0.00065055
83,5316.61,1.28376,1.06339,1.49916,0.66914,0.63156,0.70164,0.35097,1.67615,1.31585,1.84408,0.000643101,0.000643101,0.000643101
84,5381.26,1.28477,1.0492,1.50772,0.62221,0.6249,0.6661,0.33315,1.66963,1.39176,1.83004,0.000635617,0.000635617,0.000635617
85,5444.79,1.25414,1.02942,1.48026,0.65417,0.62276,0.68459,0.34698,1.64138,1.36659,1.82126,0.000628101,0.000628101,0.000628101
86,5508.88,1.27633,1.04361,1.49232,0.64442,0.61601,0.68391,0.34442,1.67448,1.36281,1.85,0.000620555,0.000620555,0.000620555
87,5572.48,1.25894,1.04567,1.48149,0.65477,0.65602,0.69523,0.34432,1.67651,1.33437,1.85313,0.000612981,0.000612981,0.000612981
88,5636.65,1.26238,1.03732,1.47943,0.65267,0.63538,0.701,0.34904,1.6679,1.33795,1.87154,0.00060538,0.00060538,0.00060538
89,5700.16,1.23617,1.01391,1.4609,0.6091,0.66724,0.68772,0.35254,1.65609,1.3257,1.82454,0.000597754,0.000597754,0.000597754
90,5764.47,1.23259,1.00027,1.46491,0.63651,0.67736,0.69884,0.34932,1.66043,1.30783,1.83233,0.000590105,0.000590105,0.000590105
91,5828.33,1.23935,0.99321,1.46081,0.65119,0.6341,0.67214,0.33579,1.66021,1.33945,1.82288,0.000582435,0.000582435,0.000582435
92,5891.64,1.22772,1.00329,1.4562,0.56832,0.65606,0.65698,0.34136,1.65092,1.35994,1.81653,0.000574746,0.000574746,0.000574746
93,5955.57,1.23256,0.99841,1.46363,0.66895,0.63001,0.68938,0.34105,1.66876,1.37361,1.85032,0.00056704,0.00056704,0.00056704
94,6018.92,1.22513,0.99028,1.4488,0.64775,0.63804,0.66208,0.33639,1.62422,1.34628,1.80159,0.000559318,0.000559318,0.000559318
95,6082.88,1.19798,0.96741,1.44154,0.60815,0.63925,0.66442,0.33505,1.67485,1.35979,1.85539,0.000551584,0.000551584,0.000551584
96,6146.54,1.20984,0.97699,1.44244,0.68246,0.58415,0.67264,0.34384,1.6643,1.35469,1.85406,0.000543837,0.000543837,0.000543837
97,6210.62,1.21444,0.98234,1.45183,0.59274,0.62992,0.64913,0.32993,1.67527,1.38582,1.82396,0.000536081,0.000536081,0.000536081
98,6274.07,1.20476,0.9712,1.43435,0.62147,0.64019,0.65679,0.32531,1.66917,1.3399,1.8558,0.000528318,0.000528318,0.000528318
99,6337.87,1.18832,0.9666,1.42678,0.63861,0.61789,0.66367,0.33,1.68339,1.37086,1.85588,0.000520548,0.000520548,0.000520548
100,6401.76,1.19653,0.94598,1.42515,0.62115,0.656,0.67055,0.33639,1.67278,1.32118,1.85441,0.000512775,0.000512775,0.000512775
101,6465.47,1.18291,0.93964,1.42166,0.63728,0.65263,0.685,0.3457,1.68579,1.32404,1.87201,0.000505,0.000505,0.000505
102,6529.12,1.17258,0.94024,1.4164,0.60648,0.63928,0.67171,0.34672,1.68635,1.35594,1.87752,0.000497225,0.000497225,0.000497225
103,6592.54,1.17408,0.912,1.40956,0.6334,0.6629,0.70088,0.33994,1.70508,1.32167,1.88094,0.000489452,0.000489452,0.000489452
104,6656.58,1.15665,0.90437,1.40646,0.68223,0.60834,0.67288,0.34183,1.68846,1.31281,1.8636,0.000481682,0.000481682,0.000481682
105,6720.21,1.16556,0.89706,1.41288,0.60046,0.63039,0.65899,0.3288,1.70926,1.34649,1.88147,0.000473919,0.000473919,0.000473919
106,6783.96,1.16171,0.91072,1.40066,0.63001,0.63132,0.67611,0.34813,1.65121,1.29131,1.84762,0.000466163,0.000466163,0.000466163
107,6847.45,1.15437,0.89004,1.40351,0.6462,0.63144,0.6597,0.33082,1.73587,1.35341,1.90914,0.000458416,0.000458416,0.000458416
108,6911.16,1.15014,0.89415,1.40651,0.58688,0.63503,0.6612,0.33698,1.69949,1.33678,1.87871,0.000450682,0.000450682,0.000450682
109,6974.73,1.14309,0.89313,1.38368,0.63115,0.58994,0.64505,0.32089,1.71649,1.36897,1.86772,0.00044296,0.00044296,0.00044296
110,7038.4,1.13653,0.8764,1.38324,0.67589,0.59235,0.67236,0.33964,1.68771,1.32422,1.8569,0.000435254,0.000435254,0.000435254
111,7101.94,1.14572,0.87323,1.38701,0.6497,0.62381,0.66027,0.33577,1.69577,1.33708,1.87427,0.000427565,0.000427565,0.000427565
112,7165.7,1.12884,0.86341,1.38172,0.57799,0.6545,0.64387,0.32488,1.70005,1.32327,1.85632,0.000419895,0.000419895,0.000419895
113,7229.3,1.11981,0.85865,1.37475,0.69421,0.57526,0.65696,0.33288,1.6943,1.3266,1.86622,0.000412246,0.000412246,0.000412246
114,7292.98,1.1241,0.83329,1.38005,0.6266,0.62117,0.656,0.33509,1.7,1.32265,1.87375,0.00040462,0.00040462,0.00040462
115,7356.23,1.10533,0.84283,1.36606,0.6595,0.60769,0.66885,0.34289,1.68602,1.31309,1.84615,0.000397019,0.000397019,0.000397019
116,7419.85,1.10816,0.84806,1.36566,0.63081,0.62274,0.66836,0.33289,1.68012,1.32115,1.85882,0.000389445,0.000389445,0.000389445
117,7483.82,1.10255,0.81671,1.36823,0.61143,0.63305,0.67153,0.34526,1.68798,1.29516,1.87915,0.000381899,0.000381899,0.000381899
